,Name,Right arm Fast,Right arm Medium,Left arm Fast,Left arm Medium,Right arm off-spinner,Right arm Legbreak,Left arm Orthodox,Left arm Chinaman,Playing Style Score
419,SP Fleming,"[730, 1062, 20]","[46, 75, 5]","[181, 290, 8]","[0, 0, 0]","[47, 90, 3]","[34, 44, 0]","[103, 88, 1]","[0, 0, 0]",55.03943908851884
420,SP Patil,"[54, 139, 4]","[0, 0, 0]","[28, 37, 1]","[0, 0, 0]","[8, 25, 2]","[27, 54, 0]","[3, 5, 0]","[0, 0, 0]",30.0
421,SPD Smith,"[2140, 2412, 48]","[148, 191, 4]","[418, 538, 11]","[0, 0, 0]","[465, 577, 7]","[384, 468, 12]","[636, 722, 11]","[132, 160, 3]",39.92597733055748
422,SR Tendulkar,"[2352, 2934, 51]","[145, 176, 3]","[523, 635, 9]","[19, 12, 1]","[371, 377, 8]","[214, 188, 0]","[234, 293, 5]","[0, 0, 0]",55.05443234836703
423,SS Iyer,"[638, 726, 21]","[97, 140, 3]","[100, 105, 2]","[0, 0, 0]","[145, 120, 2]","[76, 81, 2]","[251, 263, 2]","[39, 40, 1]",50.074294205052006
424,SS Pathirana,"[70, 119, 8]","[7, 10, 0]","[46, 72, 0]","[0, 0, 0]","[97, 88, 3]","[87, 80, 2]","[20, 17, 0]","[0, 0, 0]",49.54128440366973
425,SSJ Brooks,"[220, 270, 6]","[59, 64, 1]","[52, 86, 3]","[0, 0, 0]","[60, 78, 1]","[48, 68, 1]","[76, 109, 5]","[0, 0, 0]",47.76699029126213
426,STR Binny,"[77, 95, 6]","[27, 20, 0]","[12, 6, 0]","[0, 0, 0]","[34, 39, 0]","[25, 32, 0]","[13, 21, 0]","[0, 0, 0]",51.06382978723404
427,SV Samson,"[87, 102, 3]","[21, 11, 1]","[18, 20, 0]","[0, 0, 0]","[34, 38, 0]","[6, 4, 0]","[50, 67, 1]","[50, 26, 0]",56.390977443609025
428,SW Ambris,"[248, 261, 5]","[5, 5, 1]","[92, 86, 3]","[0, 0, 0]","[23, 41, 2]","[6, 8, 1]","[25, 25, 0]","[7, 9, 0]",50.73891625615764
429,SW Billings,"[278, 334, 7]","[71, 62, 2]","[68, 84, 2]","[0, 0, 0]","[73, 73, 2]","[73, 79, 3]","[64, 78, 3]","[7, 6, 0]",49.52681388012618
430,SW Poynter,"[35, 62, 4]","[17, 18, 0]","[4, 1, 0]","[0, 0, 0]","[46, 78, 3]","[38, 63, 2]","[7, 7, 1]","[0, 0, 0]",29.931972789115648
431,T Duffin,"[118, 323, 6]","[0, 6, 1]","[39, 55, 0]","[0, 0, 0]","[21, 29, 1]","[0, 0, 0]","[2, 7, 1]","[3, 11, 0]",41.53005464480874
432,T Maruma,"[51, 103, 6]","[2, 6, 1]","[15, 27, 1]","[0, 0, 0]","[35, 37, 3]","[35, 43, 2]","[8, 20, 0]","[0, 0, 0]",45.20547945205479
433,T Taibu,"[743, 1124, 20]","[68, 89, 4]","[148, 175, 4]","[2, 6, 1]","[282, 439, 5]","[121, 155, 3]","[283, 463, 9]","[0, 0, 0]",35.45840922890103
434,Tamim Iqbal,"[3174, 4202, 88]","[603, 749, 15]","[511, 655, 17]","[24, 31, 1]","[1035, 1457, 17]","[349, 403, 6]","[316, 401, 7]","[27, 28, 0]",51.66418281172379
435,Taufeeq Umar,"[75, 162, 2]","[25, 24, 1]","[15, 16, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",55.65217391304348
436,TD Paine,"[520, 735, 15]","[41, 79, 3]","[76, 139, 2]","[0, 0, 0]","[85, 127, 3]","[62, 90, 4]","[22, 27, 2]","[0, 0, 0]",47.8908188585608
437,TJ Friend,"[51, 83, 3]","[0, 0, 0]","[14, 15, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[20, 20, 0]","[0, 0, 0]",47.05882352941176
438,TK Musakanda,"[64, 83, 2]","[45, 46, 2]","[46, 65, 5]","[0, 0, 0]","[40, 72, 3]","[50, 47, 2]","[17, 25, 0]","[0, 0, 0]",49.61832061068702
439,TL Seifert,"[33, 28, 3]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",42.42424242424242
440,TM Head,"[687, 669, 19]","[51, 47, 1]","[376, 352, 6]","[0, 0, 0]","[181, 243, 4]","[108, 137, 3]","[144, 199, 4]","[22, 28, 1]",51.75270873167622
441,TMK Mawoyo,"[38, 105, 1]","[0, 0, 0]","[11, 36, 2]","[0, 0, 0]","[0, 4, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",24.489795918367346
442,TP Ura,"[248, 321, 9]","[19, 23, 1]","[1, 9, 1]","[14, 15, 0]","[91, 87, 4]","[15, 19, 1]","[126, 160, 3]","[0, 0, 0]",58.754863813229576
443,TSS Mackintosh,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[12, 9, 0]","[0, 0, 0]","[8, 17, 1]","[0, 0, 0]","[0, 0, 0]",60.0
444,TT Samaraweera,"[215, 290, 7]","[19, 33, 2]","[41, 45, 2]","[5, 6, 0]","[86, 119, 1]","[30, 45, 2]","[106, 153, 5]","[0, 0, 0]",35.85657370517929
445,Tushar Imran,"[73, 130, 6]","[0, 0, 0]","[6, 13, 0]","[0, 0, 0]","[12, 25, 0]","[0, 0, 0]","[5, 21, 1]","[0, 0, 0]",47.91666666666667
446,TWM Latham,"[1371, 1693, 31]","[103, 156, 4]","[250, 299, 13]","[0, 0, 0]","[518, 670, 14]","[435, 484, 12]","[269, 308, 8]","[97, 86, 2]",42.78672362799868
447,Umar Akmal,"[1263, 1406, 44]","[142, 163, 1]","[191, 255, 10]","[30, 48, 1]","[458, 572, 11]","[117, 162, 3]","[274, 368, 11]","[0, 0, 0]",43.7979797979798
448,Umar Amin,"[101, 153, 7]","[7, 16, 0]","[45, 86, 3]","[1, 3, 0]","[53, 67, 4]","[13, 18, 0]","[32, 29, 0]","[0, 0, 0]",49.2063492063492
449,Usman Ghani,"[110, 149, 3]","[34, 65, 1]","[12, 38, 2]","[16, 9, 0]","[29, 35, 0]","[25, 25, 0]","[7, 22, 2]","[0, 0, 0]",46.3519313304721
450,UT Khawaja,"[505, 625, 13]","[76, 97, 0]","[163, 223, 6]","[0, 0, 0]","[137, 179, 2]","[122, 143, 4]","[255, 294, 5]","[115, 117, 2]",42.97159504734159
451,V Aravind,"[159, 220, 5]","[53, 97, 1]","[0, 0, 0]","[2, 5, 0]","[30, 63, 1]","[10, 12, 0]","[102, 174, 4]","[0, 0, 0]",43.258426966292134
452,V Kohli,"[5211, 5877, 108]","[707, 726, 8]","[1207, 1244, 22]","[11, 5, 0]","[1370, 1582, 19]","[1003, 953, 16]","[904, 1051, 15]","[28, 33, 1]",43.75059860166651
453,V Shankar,"[65, 67, 2]","[31, 36, 1]","[22, 32, 0]","[0, 0, 0]","[35, 50, 1]","[60, 60, 2]","[10, 8, 0]","[0, 0, 0]",46.63677130044843
454,V Sibanda,"[793, 1308, 32]","[87, 105, 6]","[165, 266, 8]","[0, 0, 0]","[150, 237, 7]","[87, 127, 4]","[206, 379, 8]","[4, 6, 1]",51.474530831099194
455,VB van Jaarsveld,"[1, 7, 1]","[0, 0, 0]","[2, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0.0
456,VR Iyer,"[12, 18, 1]","[3, 7, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[5, 8, 0]","[4, 8, 0]",25.0
457,VRV Singh,"[6, 6, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 4, 0]","[0, 0, 0]",57.14285714285714
458,W Jaffer,"[10, 23, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",80.0
459,W Madhevere,"[103, 173, 7]","[12, 27, 2]","[73, 111, 4]","[0, 0, 0]","[137, 147, 4]","[39, 50, 2]","[68, 76, 1]","[0, 0, 0]",41.2037037037037
460,Waheed Ahmed,"[18, 28, 0]","[4, 8, 1]","[0, 0, 0]","[0, 0, 0]","[2, 8, 1]","[0, 0, 0]","[9, 28, 2]","[0, 0, 0]",60.60606060606061
461,Washington Sundar,"[123, 112, 3]","[20, 29, 0]","[15, 19, 0]","[0, 0, 0]","[18, 28, 0]","[0, 0, 0]","[42, 58, 4]","[0, 0, 0]",47.706422018348626
462,WIA Fernando,"[487, 559, 16]","[66, 52, 0]","[107, 129, 7]","[0, 0, 0]","[74, 75, 1]","[22, 34, 2]","[94, 136, 1]","[25, 31, 1]",50.97142857142857
463,WTS Porterfield,"[978, 1677, 49]","[156, 266, 7]","[184, 267, 5]","[14, 21, 0]","[397, 678, 18]","[282, 294, 6]","[279, 342, 5]","[11, 16, 1]",47.109952194697954
464,WU Tharanga,"[2401, 3407, 73]","[387, 501, 8]","[697, 907, 27]","[67, 69, 3]","[724, 1096, 23]","[359, 397, 7]","[400, 520, 6]","[36, 34, 1]",51.50857818970618
465,WW Hinds,"[163, 323, 11]","[159, 171, 4]","[21, 52, 2]","[17, 26, 1]","[46, 87, 3]","[13, 30, 0]","[76, 86, 1]","[0, 0, 0]",40.4040404040404
466,XM Marshall,"[20, 49, 4]","[2, 12, 0]","[25, 35, 1]","[0, 0, 0]","[0, 3, 1]","[2, 12, 1]","[11, 23, 0]","[0, 0, 0]",20.0
467,Yasir Hameed,"[498, 781, 16]","[59, 80, 2]","[84, 158, 1]","[0, 0, 0]","[46, 80, 2]","[0, 0, 0]","[108, 190, 6]","[30, 50, 1]",41.21212121212121
468,YK Pathan,"[270, 260, 14]","[35, 34, 1]","[62, 50, 3]","[0, 0, 0]","[101, 90, 2]","[20, 25, 1]","[96, 87, 1]","[0, 0, 0]",62.328767123287676
469,Younis Khan,"[1537, 2425, 79]","[307, 331, 2]","[225, 367, 9]","[22, 28, 0]","[623, 669, 13]","[164, 166, 0]","[433, 598, 18]","[0, 0, 0]",36.665659921473875
470,Yuvraj Singh,"[2062, 2360, 57]","[431, 530, 9]","[236, 425, 17]","[28, 36, 1]","[740, 886, 8]","[171, 187, 4]","[371, 432, 10]","[10, 10, 1]",54.0380340824895
471,Z Crawley,"[49, 41, 1]","[0, 0, 0]","[21, 21, 1]","[0, 0, 0]","[0, 0, 0]","[10, 7, 0]","[2, 2, 0]","[0, 0, 0]",58.536585365853654
472,Zubayr Hamza,"[22, 22, 1]","[4, 15, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[5, 9, 0]","[0, 0, 0]",45.16129032258064
