,Name,Right arm Fast,Right arm Medium,Left arm Fast,Left arm Medium,Right arm off-spinner,Right arm Legbreak,Left arm Orthodox,Left arm Chinaman,Playing Style Score
112,DS Weerakkody,"[29, 27, 0]","[0, 0, 0]","[15, 12, 2]","[0, 0, 0]","[0, 0, 0]","[13, 13, 1]","[0, 0, 0]","[16, 15, 0]",57.534246575342465
113,E Lewis,"[689, 852, 16]","[89, 102, 4]","[102, 166, 7]","[0, 0, 0]","[375, 521, 7]","[129, 140, 5]","[132, 156, 5]","[34, 48, 3]",55.74193548387096
114,EC Joyce,"[209, 322, 7]","[0, 0, 0]","[34, 43, 1]","[32, 47, 2]","[21, 40, 1]","[0, 0, 0]","[16, 38, 2]","[0, 0, 0]",47.43589743589743
115,EJG Morgan,"[2226, 2534, 56]","[228, 194, 4]","[696, 824, 24]","[17, 19, 0]","[1216, 1318, 22]","[420, 405, 10]","[559, 576, 10]","[48, 61, 2]",51.82994454713493
116,EMDY Munaweera,"[15, 29, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",53.333333333333336
117,F Behardien,"[475, 461, 13]","[24, 20, 1]","[147, 127, 5]","[14, 12, 1]","[114, 172, 6]","[113, 142, 3]","[35, 49, 1]","[0, 0, 0]",41.64859002169197
118,F du Plessis,"[1810, 2011, 53]","[253, 270, 5]","[737, 771, 14]","[32, 29, 1]","[809, 1016, 14]","[396, 433, 7]","[484, 649, 5]","[24, 33, 0]",43.43234323432343
119,FA Allen,"[105, 88, 6]","[0, 0, 0]","[31, 30, 1]","[0, 0, 0]","[1, 4, 1]","[11, 17, 1]","[16, 24, 2]","[3, 4, 2]",57.48502994011976
120,Faisal Iqbal,"[34, 65, 4]","[14, 31, 0]","[6, 12, 0]","[0, 0, 0]","[4, 20, 1]","[7, 22, 0]","[9, 15, 0]","[8, 11, 0]",34.146341463414636
121,Fakhar Zaman,"[1117, 1286, 24]","[218, 225, 5]","[183, 173, 4]","[0, 0, 0]","[134, 138, 6]","[197, 232, 6]","[265, 258, 2]","[74, 48, 2]",57.678244972577694
122,Fayyaz Ahmed,"[22, 56, 0]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9, 12, 0]","[6, 11, 0]","[0, 0, 0]",54.054054054054056
123,FDM Karunaratne,"[308, 468, 17]","[14, 18, 1]","[118, 152, 2]","[0, 0, 0]","[119, 156, 5]","[0, 0, 0]","[56, 73, 1]","[0, 0, 0]",38.3739837398374
124,FH Allen,"[250, 271, 10]","[35, 52, 0]","[51, 44, 1]","[0, 0, 0]","[32, 36, 0]","[25, 29, 0]","[32, 42, 2]","[5, 4, 0]",67.90697674418604
125,FRJ Coleman,"[84, 110, 5]","[11, 6, 0]","[0, 8, 1]","[0, 0, 0]","[12, 19, 0]","[19, 26, 0]","[0, 0, 0]","[0, 0, 0]",42.857142857142854
126,FY Fazal,"[28, 33, 0]","[17, 20, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[10, 12, 0]","[0, 0, 0]","[0, 0, 0]",61.81818181818181
127,G Chapple,"[0, 0, 0]","[2, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0.0
128,G Gambhir,"[1981, 2386, 54]","[114, 113, 5]","[305, 390, 12]","[14, 10, 0]","[431, 500, 11]","[61, 83, 1]","[346, 390, 2]","[0, 0, 0]",46.678966789667896
129,G Malla,"[88, 176, 5]","[15, 32, 1]","[9, 20, 0]","[34, 46, 1]","[56, 68, 1]","[12, 15, 1]","[52, 72, 3]","[0, 0, 0]",47.368421052631575
130,GA Manou,"[5, 4, 0]","[0, 0, 0]","[2, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0.0
131,GC Smith,"[1950, 2375, 43]","[411, 446, 9]","[344, 490, 12]","[49, 76, 2]","[359, 484, 21]","[103, 147, 1]","[243, 355, 4]","[0, 0, 0]",49.32061289389998
132,GC Wilson,"[356, 527, 21]","[122, 163, 5]","[19, 46, 3]","[5, 11, 0]","[262, 356, 7]","[180, 314, 11]","[205, 275, 6]","[0, 0, 0]",35.33507397737163
133,GD Drummond,"[19, 17, 1]","[0, 0, 0]","[29, 13, 0]","[0, 0, 0]","[18, 18, 0]","[1, 4, 0]","[0, 0, 0]","[0, 0, 0]",53.73134328358209
134,GD Phillips,"[96, 122, 3]","[25, 22, 1]","[39, 32, 2]","[0, 0, 0]","[46, 60, 3]","[40, 36, 0]","[22, 30, 2]","[15, 22, 0]",54.416961130742045
135,GF Linde,"[9, 6, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[12, 19, 0]","[6, 6, 1]","[0, 0, 0]","[0, 0, 0]",44.44444444444444
136,GH Worker,"[170, 216, 3]","[0, 0, 0]","[26, 44, 3]","[0, 0, 0]","[25, 43, 2]","[10, 11, 0]","[13, 26, 0]","[0, 0, 0]",41.80327868852459
137,Ghulam Shabber,"[243, 391, 8]","[40, 45, 1]","[0, 3, 0]","[0, 0, 0]","[47, 99, 5]","[26, 32, 2]","[23, 31, 2]","[0, 0, 0]",40.105540897097626
